"filename", "language", "JSON", "PostCSS", "HTML", "JavaScript", "Markdown", "MS SQL", "TypeScript JSX", "TypeScript", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\breakwaters-website-old\README.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 13, 53
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\package-lock.json", "JSON", 17652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17653
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 23, 1, 44
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\App.css", "PostCSS", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\App.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\assets\icons\icons8-apple.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\assets\icons\icons8-facebook-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\assets\icons\icons8-google.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\assets\logos\Logo-full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\assets\logos\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\assets\svgs\Hero-wave.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\components\ui\auth\LoginForm.js", "JavaScript", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 26, 221
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\components\ui\auth\RegisterForm.js", "JavaScript", 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 31, 292
